{'epoch': 90, 'loss': '0.07003015', 'attacktype': 'PGD', 'eps': 0.03, 'NorAcc': 0.97, 'RecAcc': 0.932, 'AdvAcc': 0.517, 'RAvAcc': 0.931, 'classifier': 'LightweightFVCNN_FV500', 'best_acc': 0.931}
{'epoch': 91, 'loss': '0.06964594', 'attacktype': 'PGD', 'eps': 0.03, 'NorAcc': 0.97, 'RecAcc': 0.929, 'AdvAcc': 0.515, 'RAvAcc': 0.927, 'classifier': 'LightweightFVCNN_FV500', 'best_acc': 0.931}
{'epoch': 92, 'loss': '0.06759916', 'attacktype': 'PGD', 'eps': 0.03, 'NorAcc': 0.969, 'RecAcc': 0.921, 'AdvAcc': 0.516, 'RAvAcc': 0.922, 'classifier': 'LightweightFVCNN_FV500', 'best_acc': 0.931}
{'epoch': 93, 'loss': '0.06932703', 'attacktype': 'PGD', 'eps': 0.03, 'NorAcc': 0.968, 'RecAcc': 0.933, 'AdvAcc': 0.52, 'RAvAcc': 0.932, 'classifier': 'LightweightFVCNN_FV500', 'best_acc': 0.932}
{'epoch': 94, 'loss': '0.06108519', 'attacktype': 'PGD', 'eps': 0.03, 'NorAcc': 0.97, 'RecAcc': 0.93, 'AdvAcc': 0.519, 'RAvAcc': 0.933, 'classifier': 'LightweightFVCNN_FV500', 'best_acc': 0.933}
{'epoch': 95, 'loss': '0.06002844', 'attacktype': 'PGD', 'eps': 0.03, 'NorAcc': 0.971, 'RecAcc': 0.932, 'AdvAcc': 0.516, 'RAvAcc': 0.929, 'classifier': 'LightweightFVCNN_FV500', 'best_acc': 0.933}
{'epoch': 96, 'loss': '0.05970829', 'attacktype': 'PGD', 'eps': 0.03, 'NorAcc': 0.973, 'RecAcc': 0.938, 'AdvAcc': 0.517, 'RAvAcc': 0.933, 'classifier': 'LightweightFVCNN_FV500', 'best_acc': 0.933}
{'epoch': 97, 'loss': '0.05837721', 'attacktype': 'PGD', 'eps': 0.03, 'NorAcc': 0.97, 'RecAcc': 0.94, 'AdvAcc': 0.515, 'RAvAcc': 0.939, 'classifier': 'LightweightFVCNN_FV500', 'best_acc': 0.939}
{'epoch': 98, 'loss': '0.05738334', 'attacktype': 'PGD', 'eps': 0.03, 'NorAcc': 0.971, 'RecAcc': 0.931, 'AdvAcc': 0.518, 'RAvAcc': 0.933, 'classifier': 'LightweightFVCNN_FV500', 'best_acc': 0.939}
{'epoch': 99, 'loss': '0.05739274', 'attacktype': 'PGD', 'eps': 0.03, 'NorAcc': 0.972, 'RecAcc': 0.936, 'AdvAcc': 0.516, 'RAvAcc': 0.936, 'classifier': 'LightweightFVCNN_FV500', 'best_acc': 0.939}
{'epoch': 100, 'loss': '0.05522580', 'attacktype': 'PGD', 'eps': 0.03, 'NorAcc': 0.972, 'RecAcc': 0.941, 'AdvAcc': 0.507, 'RAvAcc': 0.937, 'classifier': 'LightweightFVCNN_FV500', 'best_acc': 0.939}
{'epoch': 101, 'loss': '0.05401963', 'attacktype': 'PGD', 'eps': 0.03, 'NorAcc': 0.971, 'RecAcc': 0.94, 'AdvAcc': 0.514, 'RAvAcc': 0.939, 'classifier': 'LightweightFVCNN_FV500', 'best_acc': 0.939}
{'epoch': 102, 'loss': '0.05397848', 'attacktype': 'PGD', 'eps': 0.03, 'NorAcc': 0.971, 'RecAcc': 0.943, 'AdvAcc': 0.515, 'RAvAcc': 0.944, 'classifier': 'LightweightFVCNN_FV500', 'best_acc': 0.944}
{'epoch': 103, 'loss': '0.05253293', 'attacktype': 'PGD', 'eps': 0.03, 'NorAcc': 0.971, 'RecAcc': 0.941, 'AdvAcc': 0.521, 'RAvAcc': 0.941, 'classifier': 'LightweightFVCNN_FV500', 'best_acc': 0.944}
{'epoch': 104, 'loss': '0.05128879', 'attacktype': 'PGD', 'eps': 0.03, 'NorAcc': 0.97, 'RecAcc': 0.939, 'AdvAcc': 0.518, 'RAvAcc': 0.938, 'classifier': 'LightweightFVCNN_FV500', 'best_acc': 0.944}
{'epoch': 105, 'loss': '0.05185841', 'attacktype': 'PGD', 'eps': 0.03, 'NorAcc': 0.971, 'RecAcc': 0.946, 'AdvAcc': 0.511, 'RAvAcc': 0.943, 'classifier': 'LightweightFVCNN_FV500', 'best_acc': 0.944}
